gene	individual	counts	tissue	sex	path
_scaffold_12_000002.1	indv_1	696	flowers	male	rddm
_scaffold_12_000003.1	indv_1	1512	flowers	male	rddm
_scaffold_12_000518.1	indv_1	240	flowers	male	rddm
_scaffold_12_000516.1	indv_1	648	flowers	male	rddm
_scaffold_12_000015.1	indv_1	312	flowers	male	rddm
_scaffold_12_000016.1	indv_1	96	flowers	male	rddm
_scaffold_12_000020.1	indv_1	1896	flowers	male	rddm
_scaffold_12_000022.1	indv_1	72	flowers	male	rddm
_scaffold_12_000023.1	indv_1	936	flowers	male	rddm
_scaffold_12_000497.1	indv_1	72	flowers	male	rddm
_scaffold_12_000490.1	indv_1	624	flowers	male	rddm
_chr6_001891.1_1	indv_1	312	flowers	male	rddm
_scaffold_12_000045.1	indv_1	24	flowers	male	rddm
_scaffold_12_000046.1	indv_1	826	flowers	male	rddm
_scaffold_12_000487.1	indv_1	1488	flowers	male	rddm
_scaffold_12_000486.1	indv_1	2736	flowers	male	rddm
_scaffold_12_000485.1	indv_1	1344	flowers	male	rddm
_scaffold_12_000484.1	indv_1	1272	flowers	male	rddm
_scaffold_12_000050.1	indv_1	96	flowers	male	rddm
_scaffold_12_000481.1	indv_1	168	flowers	male	rddm
_scaffold_12_000051.1	indv_1	1992	flowers	male	rddm
_scaffold_12_000052.1	indv_1	144	flowers	male	rddm
_scaffold_12_000479.1	indv_1	1800	flowers	male	rddm
_scaffold_12_000058.1	indv_1	624	flowers	male	rddm
_scaffold_12_000063.1	indv_1	336	flowers	male	rddm
_scaffold_12_000470.1	indv_1	0	flowers	male	rddm
_scaffold_12_000066.1	indv_1	4128	flowers	male	rddm
_scaffold_12_000071.1	indv_1	24	flowers	male	rddm
_scaffold_12_000467.1	indv_1	2376	flowers	male	rddm
_scaffold_12_000072.1	indv_1	1392	flowers	male	rddm
_scaffold_12_000464.1	indv_1	72	flowers	male	rddm
_scaffold_12_000463.1	indv_1	528	flowers	male	rddm
_scaffold_12_000460.1	indv_1	1008	flowers	male	rddm
_scaffold_12_000076.1	indv_1	96	flowers	male	rddm
_scaffold_12_000077.1	indv_1	1344	flowers	male	rddm
_scaffold_12_000458.1	indv_1	3888	flowers	male	rddm
_scaffold_12_000455.1	indv_1	120	flowers	male	rddm
_scaffold_12_000454.1	indv_1	72	flowers	male	rddm
_scaffold_12_000088.1	indv_1	168	flowers	male	rddm
_scaffold_12_000105.1	indv_1	1512	flowers	male	rddm
_scaffold_12_000442.1	indv_1	1872	flowers	male	rddm
_scaffold_12_000441.1	indv_1	1704	flowers	male	rddm
_scaffold_12_000439.1	indv_1	648	flowers	male	rddm
_scaffold_12_000438.1	indv_1	24	flowers	male	rddm
_scaffold_12_000124.1	indv_1	288	flowers	male	rddm
_scaffold_12_000437.1	indv_1	1224	flowers	male	rddm
_scaffold_12_000126.1	indv_1	216	flowers	male	rddm
_scaffold_12_000436.1	indv_1	144	flowers	male	rddm
_scaffold_12_000127.1	indv_1	2736	flowers	male	rddm
_scaffold_12_000424.1	indv_1	96	flowers	male	rddm
_scaffold_12_000134.1	indv_1	0	flowers	male	rddm
_scaffold_12_000137.1	indv_1	48	flowers	male	rddm
_scaffold_12_000138.1	indv_1	984	flowers	male	rddm
_scaffold_12_000416.1	indv_1	1940	flowers	male	rddm
_scaffold_12_000147.1	indv_1	1464	flowers	male	rddm
_scaffold_12_000148.1	indv_1	216	flowers	male	rddm
_scaffold_12_000405.1	indv_1	2664	flowers	male	rddm
_scaffold_12_000162.1	indv_1	2160	flowers	male	rddm
_scaffold_12_000400.1	indv_1	288	flowers	male	rddm
_scaffold_12_000398.1	indv_1	696	flowers	male	rddm
_scaffold_12_000163.1	indv_1	48	flowers	male	rddm
_scaffold_12_000396.1	indv_1	1344	flowers	male	rddm
_scaffold_12_000393.1	indv_1	96	flowers	male	rddm
_scaffold_12_000392.1	indv_1	144	flowers	male	rddm
_scaffold_12_000165.1	indv_1	4459	flowers	male	rddm
_scaffold_12_000169.1	indv_1	72	flowers	male	rddm
_scaffold_12_000172.1	indv_1	48	flowers	male	rddm
_scaffold_12_000381.1	indv_1	2616	flowers	male	rddm
_scaffold_12_000378.1	indv_1	336	flowers	male	rddm
_scaffold_12_000174.1	indv_1	2928	flowers	male	rddm
_scaffold_12_000179.1	indv_1	1248	flowers	male	rddm
_scaffold_12_000375.1	indv_1	0	flowers	male	rddm
_scaffold_12_000181.1	indv_1	24	flowers	male	rddm
_scaffold_12_000365.1	indv_1	456	flowers	male	rddm
_scaffold_12_000185.1	indv_1	888	flowers	male	rddm
_scaffold_12_000360.1	indv_1	2304	flowers	male	rddm
_scaffold_12_000359.1	indv_1	1824	flowers	male	rddm
_scaffold_12_000358.1	indv_1	1848	flowers	male	rddm
_scaffold_12_000357.1	indv_1	288	flowers	male	rddm
_scaffold_12_000354.1	indv_1	288	flowers	male	rddm
_scaffold_12_000191.1	indv_1	744	flowers	male	rddm
_scaffold_12_000192.1	indv_1	792	flowers	male	rddm
_scaffold_12_000193.1	indv_1	456	flowers	male	rddm
_scaffold_12_000195.1	indv_1	1176	flowers	male	rddm
_scaffold_12_000344.1	indv_1	1224	flowers	male	rddm
_scaffold_12_000335.1	indv_1	1056	flowers	male	rddm
_scaffold_12_000330.1	indv_1	744	flowers	male	rddm
_scaffold_12_000207.1	indv_1	1608	flowers	male	rddm
_scaffold_12_000321.1	indv_1	1704	flowers	male	rddm
_scaffold_12_000316.1	indv_1	888	flowers	male	rddm
_scaffold_12_000314.1	indv_1	192	flowers	male	rddm
_scaffold_12_000309.1	indv_1	3648	flowers	male	rddm
_scaffold_12_000308.1	indv_1	1560	flowers	male	rddm
_scaffold_12_000222.1	indv_1	1320	flowers	male	rddm
_scaffold_12_000225.1	indv_1	24	flowers	male	rddm
_scaffold_12_000238.1	indv_1	744	flowers	male	rddm
_scaffold_12_000239.1	indv_1	1584	flowers	male	rddm
_scaffold_12_000243.1	indv_1	168	flowers	male	rddm
_scaffold_12_000245.1	indv_1	360	flowers	male	rddm
_scaffold_12_000253.1	indv_1	192	flowers	male	rddm
_scaffold_12_000283.1	indv_1	360	flowers	male	rddm
_scaffold_12_000282.1	indv_1	2070	flowers	male	rddm
_scaffold_12_000255.1	indv_1	1152	flowers	male	rddm
_scaffold_12_000279.1	indv_1	408	flowers	male	rddm
_scaffold_12_000276.1	indv_1	1128	flowers	male	rddm
_scaffold_1_004171.1	indv_1	48	flowers	male	rddm
_scaffold_1_004169.1	indv_1	0	flowers	male	rddm
_scaffold_1_000006.1	indv_1	3120	flowers	male	rddm
_scaffold_1_004167.1	indv_1	1128	flowers	male	rddm
_scaffold_1_000011.1	indv_1	3120	flowers	male	rddm
_scaffold_1_000022.1	indv_1	96	flowers	male	rddm
_scaffold_1_000023.1	indv_1	1104	flowers	male	rddm
_scaffold_1_000024.1	indv_1	2232	flowers	male	rddm
_scaffold_1_004162.1	indv_1	1704	flowers	male	rddm
_scaffold_1_000026.1	indv_1	672	flowers	male	rddm
_scaffold_1_004158.1	indv_1	168	flowers	male	rddm
_scaffold_1_004153.1	indv_1	1512	flowers	male	rddm
_scaffold_1_000027.1	indv_1	2592	flowers	male	rddm
_scaffold_1_004141.1	indv_1	2112	flowers	male	rddm
_scaffold_1_004140.1	indv_1	96	flowers	male	rddm
_scaffold_1_000034.1	indv_1	192	flowers	male	rddm
_scaffold_1_000043.1	indv_1	600	flowers	male	rddm
_scaffold_1_000050.1	indv_1	2784	flowers	male	rddm
_scaffold_1_000054.1	indv_1	1392	flowers	male	rddm
_scaffold_1_000056.1	indv_1	384	flowers	male	rddm
_scaffold_1_000060.1	indv_1	24	flowers	male	rddm
_scaffold_1_004108.1	indv_1	168	flowers	male	rddm
_scaffold_1_004105.1	indv_1	0	flowers	male	rddm
_scaffold_1_000065.1	indv_1	1272	flowers	male	rddm
_scaffold_1_000066.1	indv_1	456	flowers	male	rddm
_scaffold_1_004102.1	indv_1	456	flowers	male	rddm
_scaffold_1_000071.1	indv_1	120	flowers	male	rddm
_scaffold_1_000078.1	indv_1	0	flowers	male	rddm
