gene	individual	TPM	tissue	sex	path
_scaffold_12_000002.1	indv_1	47.1603645262165	flowers	male	rddm
_scaffold_12_000003.1	indv_1	49.3711818525495	flowers	male	rddm
_scaffold_12_000518.1	indv_1	19.0978294480984	flowers	male	rddm
_scaffold_12_000516.1	indv_1	27.0761504762229	flowers	male	rddm
_scaffold_12_000015.1	indv_1	30.9364839332023	flowers	male	rddm
_scaffold_12_000016.1	indv_1	28.2974842561707	flowers	male	rddm
_scaffold_12_000020.1	indv_1	80.3305121438805	flowers	male	rddm
_scaffold_12_000022.1	indv_1	7.92781989880363	flowers	male	rddm
_scaffold_12_000023.1	indv_1	55.9198905164824	flowers	male	rddm
_scaffold_12_000497.1	indv_1	17.0448127824278	flowers	male	rddm
_scaffold_12_000490.1	indv_1	44.4275821897868	flowers	male	rddm
_chr6_001891.1_1	indv_1	18.9235177942086	flowers	male	rddm
_scaffold_12_000045.1	indv_1	2.06369280755842	flowers	male	rddm
_scaffold_12_000046.1	indv_1	68.6865001014044	flowers	male	rddm
_scaffold_12_000487.1	indv_1	85.5258183114233	flowers	male	rddm
_scaffold_12_000486.1	indv_1	108.232335997035	flowers	male	rddm
_scaffold_12_000485.1	indv_1	89.7833759732823	flowers	male	rddm
_scaffold_12_000484.1	indv_1	88.4848560728423	flowers	male	rddm
_scaffold_12_000050.1	indv_1	13.8522922930207	flowers	male	rddm
_scaffold_12_000481.1	indv_1	11.5698123129207	flowers	male	rddm
_scaffold_12_000051.1	indv_1	145.379006904715	flowers	male	rddm
_scaffold_12_000052.1	indv_1	16.1849854313855	flowers	male	rddm
_scaffold_12_000479.1	indv_1	169.179283200276	flowers	male	rddm
_scaffold_12_000058.1	indv_1	85.4809176309822	flowers	male	rddm
_scaffold_12_000063.1	indv_1	38.6245631083847	flowers	male	rddm
_scaffold_12_000470.1	indv_1	0	flowers	male	rddm
_scaffold_12_000066.1	indv_1	211.437118671361	flowers	male	rddm
_scaffold_12_000071.1	indv_1	6.31289362312141	flowers	male	rddm
_scaffold_12_000467.1	indv_1	59.6794505909939	flowers	male	rddm
_scaffold_12_000072.1	indv_1	103.789936102973	flowers	male	rddm
_scaffold_12_000464.1	indv_1	11.7804321606413	flowers	male	rddm
_scaffold_12_000463.1	indv_1	28.6522163295826	flowers	male	rddm
_scaffold_12_000460.1	indv_1	175.541979920176	flowers	male	rddm
