geneX	chr	start	end	geneY	strata
_chr12_000001.1	X	55633	59340	_scaffold_1_003879.1	s1a
_chr12_000004.1	X	74586	78432	_scaffold_1_003425.1	s1a
_chr12_000005.1	X	291679	293259	_scaffold_1_003232.1	s1a
_chr12_000006.1	X	297004	299290	_scaffold_1_003235.1	s1a
_chr12_000008.1	X	330382	335204	_scaffold_1_003816.1	s1a
_chr12_000008.1	X	330382	335204	_scaffold_1_003816.1	s1a
_chr12_000011.1	X	351956	358923	_scaffold_1_001357.1	s1a
_chr12_000016.1	X	704012	713161	_scaffold_1_002035.1	s1a
_chr12_000018.1	X	734654	741209	_scaffold_1_002280.1	s1a
_chr12_000019.1	X	741577	742667	_scaffold_1_002281.1	s1a
_chr12_000022.1	X	766055	777878	_scaffold_1_003749.1	s1a
_chr12_000028.1	X	960374	965774	_scaffold_1_000043.1	s1a
_chr12_000030.1	X	1148361	1150853	_scaffold_16_000118.1	s1a
_chr12_000033.1	X	1220195	1226795	_scaffold_41_000132.1	s1a
_chr12_000034.1	X	1287554	1291007	_scaffold_12_000381.1	s1a
_chr12_000039.1	X	1571710	1577290	_scaffold_12_000105.1	s1a
_chr12_000057.1	X	2154937	2157582	_scaffold_1_003734.1	s1a
_chr12_000067.1	X	2381105	2382053	_scaffold_1_001453.1	s1a
_chr12_000069.1	X	2418061	2423354	_scaffold_12_000400.1	s1a
_chr12_000071.1	X	2435296	2443667	_scaffold_1_000149.1	s1a
_chr12_000072.1	X	2457925	2462873	_scaffold_1_000071.1	s1a
_chr12_000078.1	X	2529563	2534804	_scaffold_1_001490.1	s1a
_chr12_000079.1	X	2534806	2542041	_scaffold_1_001491.1	s1a
_chr12_000084.1	X	2756173	2768378	_scaffold_1_001564.1	s1a
_chr12_000084.1	X	2756173	2768378	_scaffold_1_001564.1	s1a
_chr12_000085.1	X	2770621	2775452	_scaffold_1_001564.1	s1a
_chr12_000085.1	X	2770621	2775452	_scaffold_1_001564.1	s1a
_chr12_000093.1	X	2945541	2949456	_scaffold_1_000173.1	s1a
_chr12_000102.1	X	3172857	3184340	_scaffold_1_001217.1	s1a
_chr12_000102.1	X	3172857	3184340	_scaffold_1_001217.1	s1a
_chr12_000106.1	X	3291608	3301590	_scaffold_1_002942.1	s1a
_chr12_000107.1	X	3323283	3339605	_scaffold_1_000472.1	s1a
_chr12_000120.1	X	3511409	3515763	_scaffold_1_001558.1	s1a
_chr12_000122.1	X	3520584	3527247	_scaffold_1_001419.1	s1a
_chr12_000122.1	X	3520584	3527247	_scaffold_1_001419.1	s1a
_chr12_000123.1	X	3528085	3537912	_scaffold_1_001419.1	s1a
_chr12_000123.1	X	3528085	3537912	_scaffold_1_001419.1	s1a
_chr12_000125.1	X	3552296	3560648	_scaffold_1_001561.1	s1a
_chr12_000128.1	X	3868561	3870767	_scaffold_1_001957.1	s1a
_chr12_000129.1	X	3914861	3917877	_scaffold_1_001214.1	s1a
_chr12_000131.1	X	3925280	3931988	_scaffold_1_002118.1	s1a
